geometry,x,y
POINT (116.1039787 -34.5980028),116.10398,-34.598
POINT (116.1262041 -34.5984193),116.1262,-34.59842
POINT (116.1241318 -34.5940978),116.12413,-34.5941
POINT (116.1622512 -34.6840757),116.16225,-34.68408
POINT (116.1682749 -34.6724005),116.16827,-34.6724
POINT (115.9955628 -34.4856197),115.99556,-34.48562
POINT (115.9574036 -34.4605093),115.9574,-34.46051
POINT (115.9669561 -34.4719132),115.96696,-34.47191
POINT (115.9571474 -34.4605167),115.95715,-34.46052
POINT (115.9195222 -34.435987),115.91952,-34.43599
POINT (115.9170543 -34.4982311),115.91705,-34.49823
POINT (115.9873634 -34.3649536),115.98736,-34.36495
POINT (116.4842713 -33.4222392),116.48427,-33.42224
POINT (116.4853298 -33.4299383),116.48533,-33.42994
POINT (116.4819069 -33.4211472),116.48191,-33.42115
POINT (116.5632332 -33.6526844),116.56323,-33.65268
POINT (116.3911128 -33.4557607),116.39111,-33.45576
POINT (116.3803932 -33.3343093),116.38039,-33.33431
POINT (116.385089 -33.868286),116.38509,-33.86829
POINT (116.4002342 -33.908854),116.40023,-33.90885
POINT (116.510272 -34.0965661),116.51027,-34.09657
POINT (116.4709997 -34.053675),116.471,-34.05368
POINT (116.3896917 -33.7654198),116.38969,-33.76542
POINT (116.3507499 -33.89906),116.35075,-33.89906
POINT (116.5143766 -33.6728322),116.51438,-33.67283
POINT (116.4489251 -33.9799933),116.44893,-33.97999
POINT (116.305144 -34.0122241),116.30514,-34.01222
POINT (116.3580616 -34.0014522),116.35806,-34.00145
POINT (116.4050971 -33.9866279),116.4051,-33.98663
POINT (116.3597873 -34.248242),116.35979,-34.24824
